Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R35,6.8k,R_0402_1005Metric,91.5,-89.5,0,top
R36,1M,R_0402_1005Metric,117,-131.5,180,top
R37,1M,R_0402_1005Metric,117,-116.5,180,top
R38,1M,R_0402_1005Metric,117,-101,180,top
R39,1M,R_0402_1005Metric,117,-86,180,top
R40,300,R_0402_1005Metric,117,-133,0,top
R41,300,R_0402_1005Metric,117,-118,0,top
R42,300,R_0402_1005Metric,117,-102.5,0,top
R43,300,R_0402_1005Metric,117,-87.5,0,top
R44,6.8k,R_0402_1005Metric,117,-134.5,0,top
R45,6.8k,R_0402_1005Metric,117,-119.5,0,top
R46,6.8k,R_0402_1005Metric,117,-104,0,top
R47,6.8k,R_0402_1005Metric,117,-89,0,top
R48,1M,R_0402_1005Metric,141,-131.5,180,top
R49,1M,R_0402_1005Metric,141,-116,180,top
R50,1M,R_0402_1005Metric,141,-101,180,top
R51,1M,R_0402_1005Metric,141,-86,180,top
R52,300,R_0402_1005Metric,141,-133,0,top
R53,300,R_0402_1005Metric,141,-117.5,0,top
R54,300,R_0402_1005Metric,141,-102.5,0,top
R55,300,R_0402_1005Metric,141,-87.5,0,top
R56,6.8k,R_0402_1005Metric,141,-134.5,0,top
R57,6.8k,R_0402_1005Metric,141,-119,0,top
R58,6.8k,R_0402_1005Metric,141,-104,0,top
R59,6.8k,R_0402_1005Metric,141,-89,0,top
U1,"P82B96TD,118","P82B96TD,118",109.5,-71.75,180,top
U2,MCP23017,SOIC-28W_7.5x17.9mm_P1.27mm,136,-71,90,top
